                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1816,                 1.6898,                  1.449,                0.46449,                0.51178,                0.45646,                0.29625,                 1.2449,                  1.655,                 1.5182,               0.008185,               0.008185,               0.008185
                     35,                 1.1884,                 1.6805,                 1.4469,                0.46299,                0.51258,                0.45621,                0.29632,                 1.2439,                 1.6547,                 1.5183,                0.00813,                0.00813,                0.00813
                     36,                 1.1816,                 1.6703,                 1.4441,                0.46365,                0.51443,                0.45609,                0.29609,                 1.2433,                  1.655,                 1.5182,               0.008075,               0.008075,               0.008075
                     37,                 1.1755,                 1.6637,                  1.439,                0.46654,                0.51275,                0.45609,                0.29618,                 1.2426,                 1.6545,                 1.5177,                0.00802,                0.00802,                0.00802
                     38,                  1.173,                 1.6496,                 1.4347,                0.46641,                0.51102,                0.45594,                0.29664,                 1.2423,                 1.6547,                 1.5174,               0.007965,               0.007965,               0.007965
                     39,                 1.1679,                 1.6291,                 1.4288,                0.46648,                0.51325,                 0.4558,                0.29643,                 1.2417,                 1.6553,                 1.5171,                0.00791,                0.00791,                0.00791
                     40,                 1.1679,                 1.6359,                 1.4313,                0.46496,                0.51332,                0.45577,                0.29641,                 1.2418,                 1.6563,                 1.5171,               0.007855,               0.007855,               0.007855
                     41,                 1.1605,                 1.6239,                  1.426,                0.46322,                0.51489,                0.45554,                0.29644,                 1.2416,                 1.6569,                 1.5172,                 0.0078,                 0.0078,                 0.0078
                     42,                 1.1624,                 1.6215,                 1.4235,                0.46566,                0.51283,                0.45521,                 0.2961,                 1.2416,                 1.6571,                  1.517,               0.007745,               0.007745,               0.007745
                     43,                 1.1564,                 1.6156,                 1.4225,                0.46602,                0.51208,                0.45506,                0.29608,                  1.242,                 1.6578,                 1.5171,                0.00769,                0.00769,                0.00769
                     44,                 1.1507,                 1.5957,                 1.4159,                0.46498,                0.51315,                0.45499,                0.29606,                 1.2421,                 1.6589,                 1.5172,               0.007635,               0.007635,               0.007635
                     45,                 1.1548,                 1.5913,                 1.4202,                0.46538,                 0.5139,                0.45486,                0.29587,                 1.2427,                 1.6602,                 1.5177,                0.00758,                0.00758,                0.00758
                     46,                 1.1543,                 1.5868,                 1.4197,                0.46421,                0.51497,                 0.4545,                0.29553,                  1.242,                 1.6613,                 1.5171,               0.007525,               0.007525,               0.007525
                     47,                 1.1458,                 1.5712,                 1.4121,                0.46566,                 0.5116,                0.45402,                0.29523,                 1.2421,                 1.6628,                 1.5174,                0.00747,                0.00747,                0.00747
                     48,                 1.1443,                 1.5679,                 1.4105,                0.46413,                0.51348,                 0.4535,                0.29489,                 1.2421,                 1.6639,                 1.5174,               0.007415,               0.007415,               0.007415
                     49,                 1.1459,                 1.5629,                 1.4119,                0.46598,                0.51197,                0.45328,                0.29459,                 1.2421,                  1.665,                 1.5178,                0.00736,                0.00736,                0.00736
                     50,                 1.1403,                 1.5507,                 1.4024,                0.46791,                0.50878,                0.45305,                0.29456,                  1.242,                 1.6665,                 1.5176,               0.007305,               0.007305,               0.007305
                     51,                 1.1352,                 1.5468,                 1.4062,                0.46641,                0.50993,                0.45264,                0.29459,                 1.2419,                 1.6681,                 1.5176,                0.00725,                0.00725,                0.00725
                     52,                 1.1274,                  1.541,                 1.3964,                 0.4641,                0.51183,                0.45216,                0.29421,                 1.2422,                 1.6697,                 1.5177,               0.007195,               0.007195,               0.007195
