                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.1685,                0.93568,                 1.5947,                0.72512,                0.52709,                0.62767,                 0.3847,                 1.3127,                  1.251,                  1.785,               0.008515,               0.008515,               0.008515
                     17,                 1.1656,                0.92459,                 1.5919,                0.66863,                0.70731,                  0.733,                 0.4455,                 1.3018,                 1.0887,                 1.7784,               0.008416,               0.008416,               0.008416
                     18,                 1.1545,                0.91934,                 1.5808,                0.81152,                0.70186,                0.77822,                0.49353,                 1.2797,                 0.9888,                 1.7733,               0.008317,               0.008317,               0.008317
                     19,                 1.1342,                0.90392,                 1.5782,                0.75093,                0.65495,                0.72283,                0.45564,                 1.2653,                 1.0282,                 1.7483,               0.008218,               0.008218,               0.008218
                     20,                 1.1192,                0.87253,                 1.5562,                0.79933,                0.59194,                0.70419,                0.44964,                 1.2903,                 1.1946,                  1.783,               0.008119,               0.008119,               0.008119
                     21,                  1.108,                0.84998,                 1.5373,                0.81135,                0.65146,                0.78484,                 0.5045,                  1.224,                0.88432,                 1.6781,                0.00802,                0.00802,                0.00802
                     22,                 1.1227,                0.85475,                 1.5468,                0.68033,                0.69114,                0.72882,                 0.4627,                 1.2118,                 1.1556,                 1.6925,               0.007921,               0.007921,               0.007921
                     23,                 1.0951,                0.84113,                 1.5311,                0.72812,                 0.7318,                0.78107,                0.51279,                 1.1996,                0.92801,                 1.6964,               0.007822,               0.007822,               0.007822
                     24,                 1.0824,                0.82588,                 1.5126,                 0.7943,                0.76006,                0.81256,                0.53096,                 1.1557,                0.93646,                 1.6298,               0.007723,               0.007723,               0.007723
                     25,                 1.0851,                0.82066,                 1.5098,                 0.7584,                0.74954,                0.80137,                0.53163,                 1.1816,                0.90001,                 1.6538,               0.007624,               0.007624,               0.007624
                     26,                 1.0749,                0.82007,                 1.5118,                0.67485,                0.70064,                0.75271,                0.49603,                 1.1988,                 1.1486,                 1.6555,               0.007525,               0.007525,               0.007525
                     27,                 1.0665,                0.79363,                 1.4997,                0.79782,                0.74691,                0.81396,                0.53209,                 1.1781,                0.85698,                 1.6482,               0.007426,               0.007426,               0.007426
                     28,                 1.0505,                0.78345,                 1.4791,                0.71871,                 0.7742,                0.79532,                0.51852,                 1.1844,                0.86096,                 1.6556,               0.007327,               0.007327,               0.007327
                     29,                 1.0518,                0.78533,                 1.4861,                0.63375,                0.64288,                0.67347,                0.40402,                 1.3707,                 1.6824,                 1.8349,               0.007228,               0.007228,               0.007228
                     30,                 1.0535,                0.76734,                 1.4783,                0.81439,                0.69642,                0.80545,                0.53221,                  1.176,                 0.9619,                  1.654,               0.007129,               0.007129,               0.007129
                     31,                 1.0502,                 0.7612,                 1.4843,                0.73269,                   0.79,                0.81986,                0.53018,                 1.1593,                0.88859,                 1.6553,                0.00703,                0.00703,                0.00703
                     32,                 1.0368,                0.75469,                 1.4672,                0.63882,                0.78793,                0.78632,                0.53252,                  1.184,                 1.0294,                 1.6418,               0.006931,               0.006931,               0.006931
                     33,                 1.0276,                0.74816,                 1.4519,                0.73536,                0.75605,                0.80071,                0.54175,                 1.1269,                0.92855,                 1.5901,               0.006832,               0.006832,               0.006832
                     34,                 1.0284,                0.74146,                 1.4511,                0.75935,                0.76672,                0.83641,                0.57441,                 1.1222,                0.84014,                  1.598,               0.006733,               0.006733,               0.006733
                     35,                 1.0105,                0.73258,                   1.45,                0.78982,                0.80567,                0.83627,                0.57591,                 1.1147,                0.81227,                 1.5984,               0.006634,               0.006634,               0.006634
                     36,                 1.0115,                0.70584,                 1.4389,                0.78008,                0.74982,                0.82406,                0.56058,                 1.1291,                 0.8212,                 1.6077,               0.006535,               0.006535,               0.006535
                     37,                0.99645,                0.71473,                 1.4326,                0.80179,                0.73044,                 0.8322,                0.58094,                 1.1408,                0.88989,                 1.6091,               0.006436,               0.006436,               0.006436
                     38,                 0.9945,                0.70658,                 1.4306,                0.87847,                   0.78,                 0.8701,                0.59899,                 1.0983,                0.73629,                  1.566,               0.006337,               0.006337,               0.006337
