                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0706,                  3.546,                 3.9114,                0.69675,                0.03064,                0.01546,                0.00299,                 3.3999,                 4.1059,                 3.8874,               0.070133,              0.0033185,              0.0033185
                      1,                  2.595,                 2.9564,                 3.2538,                0.71035,                0.08357,                0.03431,                0.00573,                 3.1886,                 3.5526,                 3.6742,               0.040067,               0.006586,               0.006586
                      2,                 2.1384,                  2.383,                 2.6893,                0.50381,                0.16322,                0.12076,                 0.0316,                 2.8461,                 3.0925,                 3.4237,              0.0099356,              0.0097875,              0.0097875
                      3,                 1.7559,                 1.8331,                 2.2401,                0.37033,                0.49648,                0.37218,                0.15678,                 1.9321,                 2.4983,                 2.4711,               0.009703,               0.009703,               0.009703
                      4,                  1.573,                 1.5869,                 2.0471,                0.76416,                0.41546,                0.47524,                0.22721,                  1.766,                 1.5917,                 2.2682,               0.009703,               0.009703,               0.009703
                      5,                 1.4904,                 1.4192,                 1.9427,                0.70139,                0.38111,                0.38496,                0.18425,                 1.7219,                  2.129,                 2.2501,               0.009604,               0.009604,               0.009604
                      6,                 1.3938,                 1.2795,                 1.8507,                0.45075,                0.46357,                0.45856,                0.21725,                 1.8143,                 1.7808,                 2.3133,               0.009505,               0.009505,               0.009505
                      7,                 1.3622,                  1.224,                 1.8116,                0.67565,                0.47777,                0.53556,                0.29213,                 1.5249,                 1.6042,                  2.048,               0.009406,               0.009406,               0.009406
                      8,                 1.3154,                 1.1951,                 1.7691,                  0.638,                0.56968,                0.63702,                 0.3599,                 1.4225,                 1.2803,                 1.9604,               0.009307,               0.009307,               0.009307
                      9,                 1.3078,                  1.151,                 1.7549,                0.50198,                0.58361,                0.56293,                0.29955,                 1.6349,                 1.4436,                 2.1175,               0.009208,               0.009208,               0.009208
                     10,                 1.2751,                 1.0979,                 1.7213,                0.53192,                0.54715,                0.54566,                0.30258,                 1.4544,                 1.6718,                 1.9871,               0.009109,               0.009109,               0.009109
                     11,                 1.2493,                 1.0552,                 1.6877,                0.64043,                0.63405,                0.66694,                0.37994,                  1.479,                 1.0877,                 1.9407,                0.00901,                0.00901,                0.00901
                     12,                  1.238,                 1.0416,                 1.6808,                0.63432,                0.64515,                0.67049,                0.40016,                 1.3603,                 1.2131,                 1.8553,               0.008911,               0.008911,               0.008911
                     13,                   1.22,                 1.0013,                 1.6622,                0.69501,                0.66388,                0.69641,                0.40299,                 1.4083,                 1.0797,                 1.9032,               0.008812,               0.008812,               0.008812
                     14,                  1.213,                0.99401,                 1.6467,                0.67422,                0.55922,                0.63154,                0.38223,                 1.4234,                 1.2867,                  1.914,               0.008713,               0.008713,               0.008713
                     15,                 1.1859,                0.96247,                 1.6115,                0.56946,                0.70781,                0.72516,                0.44508,                 1.2893,                      1,                 1.7842,               0.008614,               0.008614,               0.008614
