                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1901,                 1.4288,                 1.2632,                0.65351,                0.54634,                0.61446,                0.45447,                 1.0729,                 1.0965,                 1.1206,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1575,                 1.3873,                 1.2733,                0.70055,                0.56863,                0.64027,                0.47876,                 1.0684,                 1.0413,                 1.1116,               0.086485,              0.0014851,              0.0014851
                      2,                 1.1884,                 1.2756,                 1.2344,                0.68483,                0.56934,                0.65494,                0.49027,                 1.0578,                 1.0136,                 1.0977,               0.079254,              0.0022545,              0.0022545
                      3,                 1.0749,                 1.2097,                 1.1797,                0.69424,                0.61536,                0.68945,                0.51513,                 1.0469,                0.98391,                 1.0924,               0.072008,              0.0030079,              0.0030079
                      4,                 1.1082,                 1.1699,                 1.1593,                0.73897,                0.58209,                0.68289,                0.51898,                  1.045,                0.98363,                 1.0901,               0.064746,              0.0037456,              0.0037456
                      5,                 1.1662,                 1.1453,                 1.1932,                  0.604,                0.58823,                0.62475,                0.46536,                 1.1054,                 1.1173,                 1.1178,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0871,                 1.1178,                 1.1574,                0.71709,                 0.6009,                0.67612,                0.50173,                 1.0727,                0.99764,                 1.1009,               0.050173,              0.0051733,              0.0051733
                      7,                 1.1175,                 1.1389,                 1.1759,                0.73606,                0.64028,                0.71037,                0.54089,                 1.0252,                0.97068,                 1.0852,               0.042863,              0.0058634,              0.0058634
                      8,                 1.1321,                 1.1472,                 1.2114,                0.70787,                0.57214,                 0.6558,                0.49032,                 1.1003,                 1.1393,                 1.1419,               0.035538,              0.0065377,              0.0065377
                      9,                   1.09,                 1.1603,                 1.1789,                 0.7705,                0.54575,                0.64867,                0.48783,                 1.0856,                 1.1243,                 1.1328,               0.028196,              0.0071961,              0.0071961
                     10,                 1.1255,                 1.1668,                 1.1897,                0.73785,                0.56349,                 0.6461,                0.46655,                  1.141,                 1.1317,                 1.1669,               0.020839,              0.0078387,              0.0078387
                     11,                 1.1384,                 1.2078,                 1.1896,                0.74796,                0.52338,                0.62496,                0.45396,                 1.1819,                 1.2322,                 1.1883,               0.013465,              0.0084655,              0.0084655
                     12,                 1.1222,                 1.0713,                 1.1756,                 0.7104,                0.51987,                0.61539,                0.44043,                  1.212,                 1.2847,                 1.2117,               0.008812,               0.008812,               0.008812
                     13,                 1.0841,                  1.039,                 1.1392,                0.67257,                0.51715,                0.60003,                0.42864,                  1.203,                  1.258,                 1.1819,               0.008812,               0.008812,               0.008812
                     14,                 1.0862,                 1.0843,                 1.1611,                0.68222,                0.58823,                0.65044,                0.45996,                 1.1631,                 1.1582,                 1.1513,               0.008713,               0.008713,               0.008713
                     15,                 1.0848,                 1.1452,                 1.1643,                0.74273,                0.49885,                0.61674,                0.43067,                   1.16,                 1.2331,                 1.1574,               0.008614,               0.008614,               0.008614
                     16,                 1.0469,                 1.0854,                 1.1372,                0.66999,                0.54064,                0.62138,                0.42624,                 1.1968,                 1.2763,                 1.1875,               0.008515,               0.008515,               0.008515
                     17,                 1.0996,                 1.1359,                 1.1866,                0.74884,                0.63051,                0.71573,                0.51765,                  1.082,                 1.0226,                 1.0954,               0.008416,               0.008416,               0.008416
                     18,                 1.1071,                 1.0799,                 1.1562,                0.74897,                0.64246,                0.72758,                0.52615,                  1.065,                  1.012,                 1.0975,               0.008317,               0.008317,               0.008317
                     19,                 1.1139,                 1.0861,                  1.158,                0.72931,                0.67015,                  0.758,                0.55101,                 1.0809,                0.97477,                 1.1096,               0.008218,               0.008218,               0.008218
                     20,                 1.0681,                 1.0309,                 1.1291,                0.72554,                0.64178,                0.71205,                0.51198,                 1.1111,                 1.0316,                 1.1325,               0.008119,               0.008119,               0.008119
                     21,                  1.077,                  1.012,                 1.1645,                0.75985,                0.65263,                0.75905,                0.55578,                 1.0567,                0.94419,                 1.0896,                0.00802,                0.00802,                0.00802
                     22,                 1.0804,                 1.0596,                 1.1633,                0.78055,                0.60614,                0.71821,                0.52758,                  1.106,                 1.0597,                 1.1112,               0.007921,               0.007921,               0.007921
                     23,                 1.0607,                 1.0226,                 1.1269,                0.74979,                0.64534,                0.72893,                0.53191,                 1.0663,                0.99534,                 1.0996,               0.007822,               0.007822,               0.007822
                     24,                  1.047,                 1.0024,                 1.1431,                0.76355,                0.66745,                0.76202,                0.54488,                 1.0479,                0.94578,                 1.0924,               0.007723,               0.007723,               0.007723
                     25,                 1.0883,                  1.008,                 1.1536,                0.79738,                 0.5683,                0.70833,                0.50389,                 1.1263,                 1.0875,                 1.1429,               0.007624,               0.007624,               0.007624
                     26,                0.99601,                0.95664,                 1.0962,                0.77489,                0.64774,                0.77386,                0.55404,                 1.0435,                0.90849,                 1.0906,               0.007525,               0.007525,               0.007525
                     27,                 1.0692,                0.96971,                 1.1598,                 0.7917,                0.69062,                0.79915,                0.57431,                 1.0175,                 0.8623,                 1.0801,               0.007426,               0.007426,               0.007426
                     28,                  1.042,                0.95196,                 1.1235,                0.82902,                0.69074,                0.79994,                0.59113,                 1.0026,                0.86418,                 1.0734,               0.007327,               0.007327,               0.007327
                     29,                 1.0219,                0.94905,                 1.1261,                 0.7826,                0.72288,                0.81856,                0.59332,                0.98769,                 0.8504,                 1.0792,               0.007228,               0.007228,               0.007228
                     30,                 1.0155,                0.96957,                 1.1242,                0.80132,                0.71128,                0.81283,                0.59625,                0.97041,                0.83901,                 1.0675,               0.007129,               0.007129,               0.007129
                     31,                0.96447,                0.92746,                 1.1337,                0.77739,                0.72534,                0.80174,                0.58179,                 1.0161,                0.88744,                  1.087,                0.00703,                0.00703,                0.00703
                     32,                 1.0204,                0.94643,                 1.1338,                0.82995,                0.69449,                0.80785,                0.59335,                0.97822,                0.81604,                  1.059,               0.006931,               0.006931,               0.006931
                     33,                 1.0434,                0.93616,                 1.1116,                0.81154,                 0.7051,                0.82104,                0.59443,                0.96624,                0.81033,                 1.0508,               0.006832,               0.006832,               0.006832
                     34,                 1.0114,                0.87365,                 1.0919,                 0.8349,                0.70228,                0.82251,                0.60717,                0.97218,                0.81089,                 1.0512,               0.006733,               0.006733,               0.006733
