                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1901,                 1.4288,                 1.2632,                0.65351,                0.54634,                0.61446,                0.45447,                 1.0729,                 1.0965,                 1.1206,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1575,                 1.3873,                 1.2733,                0.70055,                0.56863,                0.64027,                0.47876,                 1.0684,                 1.0413,                 1.1116,               0.086485,              0.0014851,              0.0014851
                      2,                 1.1884,                 1.2756,                 1.2344,                0.68483,                0.56934,                0.65494,                0.49027,                 1.0578,                 1.0136,                 1.0977,               0.079254,              0.0022545,              0.0022545
                      3,                 1.0749,                 1.2097,                 1.1797,                0.69424,                0.61536,                0.68945,                0.51513,                 1.0469,                0.98391,                 1.0924,               0.072008,              0.0030079,              0.0030079
                      4,                 1.1082,                 1.1699,                 1.1593,                0.73897,                0.58209,                0.68289,                0.51898,                  1.045,                0.98363,                 1.0901,               0.064746,              0.0037456,              0.0037456
                      5,                 1.1662,                 1.1453,                 1.1932,                  0.604,                0.58823,                0.62475,                0.46536,                 1.1054,                 1.1173,                 1.1178,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0871,                 1.1178,                 1.1574,                0.71709,                 0.6009,                0.67612,                0.50173,                 1.0727,                0.99764,                 1.1009,               0.050173,              0.0051733,              0.0051733
                      7,                 1.1175,                 1.1389,                 1.1759,                0.73606,                0.64028,                0.71037,                0.54089,                 1.0252,                0.97068,                 1.0852,               0.042863,              0.0058634,              0.0058634
                      8,                 1.1321,                 1.1472,                 1.2114,                0.70787,                0.57214,                 0.6558,                0.49032,                 1.1003,                 1.1393,                 1.1419,               0.035538,              0.0065377,              0.0065377
                      9,                   1.09,                 1.1603,                 1.1789,                 0.7705,                0.54575,                0.64867,                0.48783,                 1.0856,                 1.1243,                 1.1328,               0.028196,              0.0071961,              0.0071961
                     10,                 1.1255,                 1.1668,                 1.1897,                0.73785,                0.56349,                 0.6461,                0.46655,                  1.141,                 1.1317,                 1.1669,               0.020839,              0.0078387,              0.0078387
                     11,                 1.1384,                 1.2078,                 1.1896,                0.74796,                0.52338,                0.62496,                0.45396,                 1.1819,                 1.2322,                 1.1883,               0.013465,              0.0084655,              0.0084655
                     12,                 1.1222,                 1.0713,                 1.1756,                 0.7104,                0.51987,                0.61539,                0.44043,                  1.212,                 1.2847,                 1.2117,               0.008812,               0.008812,               0.008812
