                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.328,                 4.0343,                 1.8757,                0.44091,                0.47987,                0.49567,                0.22695,                  1.812,                 2.9551,                 2.1201,               0.070517,              0.0032759,              0.0032759
                      1,                0.93743,                 2.0253,                 1.5718,                0.44213,                0.36342,                0.36933,                0.13773,                 2.0911,                 2.2886,                 2.7231,               0.040452,              0.0065438,              0.0065438
                      2,                 0.8926,                 1.7042,                   1.52,                0.50336,                0.63508,                 0.4868,                0.20851,                 1.8285,                 1.8874,                 2.2943,                0.01032,              0.0097457,              0.0097457
                      3,                0.95381,                 1.4701,                 1.5535,                0.34244,                0.34551,                0.35494,                0.14162,                  2.037,                 2.7177,                 2.7974,               0.009703,               0.009703,               0.009703
                      4,                0.96541,                 1.4028,                 1.5837,                0.46418,                0.54282,                0.47115,                0.20172,                 1.8429,                 2.3036,                 2.7007,               0.009703,               0.009703,               0.009703
                      5,                0.96447,                 1.3136,                 1.5765,                0.55762,                0.48663,                0.42817,                0.16695,                 2.0802,                 2.1147,                 2.7048,               0.009604,               0.009604,               0.009604
                      6,                0.95202,                 1.1943,                 1.5617,                0.35723,                0.27539,                0.22572,                0.09865,                 2.4175,                 2.6138,                 2.9691,               0.009505,               0.009505,               0.009505
                      7,                0.93137,                 1.1759,                 1.5428,                0.64014,                0.60658,                0.61493,                0.30128,                 1.5506,                 1.5111,                 2.1303,               0.009406,               0.009406,               0.009406
                      8,                0.87791,                 1.0977,                 1.4854,                0.61941,                  0.539,                0.56873,                0.24855,                 1.8505,                 1.6288,                 2.5604,               0.009307,               0.009307,               0.009307
                      9,                0.86843,                 1.0742,                 1.4838,                0.51067,                0.64483,                0.57047,                0.27499,                  1.638,                 1.5038,                 2.2947,               0.009208,               0.009208,               0.009208
                     10,                  0.839,                  1.013,                 1.4506,                0.68966,                0.58271,                0.63929,                0.35474,                 1.5515,                  1.559,                 2.0995,               0.009109,               0.009109,               0.009109
                     11,                0.83134,                 1.0105,                  1.456,                0.76985,                0.61738,                0.67436,                0.32533,                 1.8269,                 1.3946,                 2.4988,                0.00901,                0.00901,                0.00901
                     12,                0.82876,                 0.9832,                 1.4495,                0.46283,                0.69131,                0.54838,                0.28971,                 1.5372,                 1.3521,                 2.1858,               0.008911,               0.008911,               0.008911
                     13,                0.81218,                0.99151,                 1.4363,                0.73269,                0.52939,                 0.6298,                0.37097,                 1.4096,                 1.3187,                 1.9934,               0.008812,               0.008812,               0.008812
                     14,                0.80584,                0.94252,                 1.4319,                0.78362,                0.60944,                0.70065,                0.38511,                 1.3933,                 1.3135,                 1.9172,               0.008713,               0.008713,               0.008713
                     15,                 0.7993,                0.92232,                 1.4098,                0.63538,                0.61216,                0.63401,                0.32136,                 1.6231,                  1.392,                 2.0336,               0.008614,               0.008614,               0.008614
                     16,                0.78441,                0.89376,                 1.4059,                0.63327,                0.71286,                0.66978,                0.39821,                 1.3705,                 1.2736,                 1.9283,               0.008515,               0.008515,               0.008515
                     17,                0.73921,                 0.8394,                 1.3804,                 0.7085,                0.71241,                0.71491,                0.44154,                 1.2837,                 1.1866,                 1.9022,               0.008416,               0.008416,               0.008416
                     18,                0.75065,                 0.8319,                 1.3763,                 0.7799,                0.68766,                0.75081,                0.44026,                 1.3202,                  1.164,                 1.8766,               0.008317,               0.008317,               0.008317
                     19,                0.75725,                0.84373,                 1.3725,                0.72411,                0.71298,                 0.7426,                0.45243,                 1.3239,                  1.167,                 2.0135,               0.008218,               0.008218,               0.008218
                     20,                0.74098,                0.84094,                 1.3594,                0.77388,                0.79869,                0.79861,                0.48137,                 1.2998,                 1.1153,                 1.7961,               0.008119,               0.008119,               0.008119
                     21,                0.72634,                0.84104,                 1.3528,                0.73883,                0.56893,                0.64739,                0.37744,                 1.4597,                 1.2872,                 2.2043,                0.00802,                0.00802,                0.00802
                     22,                0.70899,                0.79386,                 1.3349,                0.79361,                0.73036,                0.75172,                0.45651,                 1.2663,                  1.118,                 1.8823,               0.007921,               0.007921,               0.007921
                     23,                0.72547,                0.81536,                 1.3546,                0.66297,                0.65267,                0.63933,                0.39589,                 1.2889,                 1.1457,                 2.0005,               0.007822,               0.007822,               0.007822
