                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1313,                 5.4454,                 4.2032,                      0,                      0,                      0,                      0,                 2.8983,                 4.3438,                 4.1007,               0.070517,              0.0032759,              0.0032759
                      1,                 3.0827,                 4.7788,                 4.0486,                0.00389,                0.31287,                0.02738,                0.00688,                  2.858,                  3.639,                  3.944,               0.040452,              0.0065438,              0.0065438
                      2,                 3.0034,                 4.1754,                 3.8409,                0.00385,                0.62406,                0.00565,                 0.0014,                 3.0343,                 46.275,                 3.9753,                0.01032,              0.0097457,              0.0097457
                      3,                 2.7902,                 3.8016,                 3.5147,                0.04789,                0.25543,                0.02341,                0.00614,                  2.911,                 6.3435,                 3.8048,               0.009703,               0.009703,               0.009703
                      4,                 2.6182,                 3.6952,                 3.2779,                0.04163,                0.26566,                0.03066,                0.00958,                 2.8148,                 9.8777,                 3.5205,               0.009703,               0.009703,               0.009703
                      5,                 2.4868,                 3.5761,                 3.0652,                0.37163,                0.10526,                0.03501,                0.00958,                 2.7421,                 5.6856,                 3.4981,               0.009604,               0.009604,               0.009604
                      6,                 2.3393,                 3.4559,                 2.9263,                0.03284,                0.30033,                0.02476,                0.00627,                 2.6011,                 4.2591,                 3.2272,               0.009505,               0.009505,               0.009505
                      7,                 2.2482,                 3.3211,                 2.8086,                0.11864,                0.14077,                0.08911,                0.02668,                 2.1553,                 3.2619,                 2.9977,               0.009406,               0.009406,               0.009406
                      8,                 2.0962,                  3.052,                 2.6404,                0.10921,                0.21972,                0.15306,                0.05219,                 2.0246,                 3.1347,                 2.7858,               0.009307,               0.009307,               0.009307
                      9,                 1.9579,                 2.9036,                 2.5089,                0.23975,                0.34733,                 0.1825,                0.06885,                 1.8902,                 3.3703,                 2.6787,               0.009208,               0.009208,               0.009208
                     10,                 1.8376,                  2.774,                 2.4258,                0.36352,                0.35783,                0.30487,                 0.1248,                 1.8911,                 2.5688,                 2.6213,               0.009109,               0.009109,               0.009109
                     11,                   1.77,                 2.6446,                 2.3392,                0.67166,                0.30869,                0.37293,                0.19284,                 1.7071,                 2.3298,                 2.4404,                0.00901,                0.00901,                0.00901
                     12,                 1.6782,                 2.5326,                 2.2371,                0.59939,                0.23872,                0.19392,                0.09884,                  1.894,                 2.9209,                 2.6926,               0.008911,               0.008911,               0.008911
                     13,                 1.5932,                 2.3724,                 2.1894,                 0.5996,                0.43262,                0.38612,                0.21466,                  1.519,                 2.3446,                  2.236,               0.008812,               0.008812,               0.008812
                     14,                 1.5344,                 2.2627,                 2.1122,                0.69011,                0.38563,                0.46383,                0.24053,                 1.6807,                 1.8475,                 2.4383,               0.008713,               0.008713,               0.008713
                     15,                 1.5225,                 2.1942,                 2.0919,                0.48655,                0.42267,                0.41782,                0.22017,                 1.5896,                 2.0165,                 2.3245,               0.008614,               0.008614,               0.008614
                     16,                 1.4455,                 2.0528,                 2.0257,                0.64149,                0.30524,                0.31354,                0.14896,                 1.7056,                 2.4198,                 2.3935,               0.008515,               0.008515,               0.008515
                     17,                 1.4109,                 1.9895,                 1.9741,                0.66686,                0.41207,                0.44313,                0.26905,                 1.5263,                 1.9628,                 2.1632,               0.008416,               0.008416,               0.008416
                     18,                 1.3569,                 1.9625,                 1.9502,                0.26931,                0.35547,                0.31583,                0.13869,                  1.912,                 2.1702,                  2.674,               0.008317,               0.008317,               0.008317
                     19,                 1.3317,                 1.8809,                 1.9039,                0.80092,                0.60234,                0.67575,                 0.4112,                 1.2988,                 1.3496,                 2.0028,               0.008218,               0.008218,               0.008218
                     20,                 1.2945,                 1.8071,                 1.8753,                0.71036,                0.68292,                0.68834,                0.42762,                 1.3219,                 1.4179,                  1.993,               0.008119,               0.008119,               0.008119
                     21,                  1.254,                 1.8121,                 1.8617,                0.52244,                0.41061,                0.30054,                0.15519,                 1.6106,                 2.3909,                 2.3026,                0.00802,                0.00802,                0.00802
                     22,                 1.2527,                 1.7388,                  1.848,                0.81013,                0.49227,                0.58055,                0.35232,                 1.4492,                 1.7641,                 2.1158,               0.007921,               0.007921,               0.007921
                     23,                 1.2304,                 1.7273,                 1.8198,                0.74325,                0.51127,                0.62998,                0.36568,                 1.4032,                 1.5342,                 2.0416,               0.007822,               0.007822,               0.007822
                     24,                 1.2379,                 1.6941,                 1.8077,                0.84057,                0.58561,                0.65785,                0.41943,                 1.3337,                 1.4566,                 1.9791,               0.007723,               0.007723,               0.007723
                     25,                 1.1984,                 1.6211,                 1.7786,                0.84155,                 0.5868,                0.65909,                0.43536,                 1.2511,                 1.3986,                 1.9093,               0.007624,               0.007624,               0.007624
                     26,                 1.1946,                 1.6033,                 1.7717,                0.86033,                0.56416,                0.63327,                0.41356,                  1.261,                 1.4845,                 1.9013,               0.007525,               0.007525,               0.007525
                     27,                 1.1439,                 1.5425,                  1.726,                0.84761,                0.65351,                0.72527,                0.47634,                 1.2019,                 1.2505,                 1.8477,               0.007426,               0.007426,               0.007426
                     28,                   1.15,                 1.5188,                 1.7373,                0.77953,                0.60895,                0.69028,                0.44377,                 1.2602,                 1.3067,                 1.8946,               0.007327,               0.007327,               0.007327
                     29,                  1.143,                 1.5392,                 1.7214,                0.76928,                0.63221,                0.71008,                0.45167,                 1.2427,                 1.3572,                 1.8553,               0.007228,               0.007228,               0.007228
                     30,                 1.1119,                 1.5215,                 1.6993,                0.84312,                0.67063,                0.72101,                0.44689,                  1.258,                 1.2973,                 1.8682,               0.007129,               0.007129,               0.007129
                     31,                  1.094,                  1.453,                  1.676,                0.89626,                0.56564,                0.69829,                0.45594,                 1.1425,                 1.3157,                 1.7461,                0.00703,                0.00703,                0.00703
                     32,                  1.079,                 1.4173,                 1.6662,                0.89739,                0.63869,                 0.7187,                 0.4799,                 1.1283,                 1.2707,                 1.7834,               0.006931,               0.006931,               0.006931
                     33,                 1.0629,                 1.4115,                  1.648,                0.71704,                 0.6394,                0.70896,                0.47516,                 1.1467,                 1.2626,                 1.7855,               0.006832,               0.006832,               0.006832
                     34,                 1.0389,                 1.3633,                 1.6468,                0.83861,                0.57853,                0.65773,                0.42237,                 1.2373,                 1.2664,                 1.8529,               0.006733,               0.006733,               0.006733
                     35,                 1.0354,                  1.325,                 1.6324,                 0.8107,                0.67235,                0.75592,                0.52701,                 1.1046,                 1.1149,                 1.7415,               0.006634,               0.006634,               0.006634
                     36,                 1.0389,                  1.325,                  1.628,                 0.7266,                 0.6947,                0.74445,                0.50941,                 1.0788,                 1.2917,                 1.6899,               0.006535,               0.006535,               0.006535
                     37,                 1.0354,                 1.2999,                 1.6097,                0.77919,                0.62364,                0.71925,                 0.4697,                 1.1675,                 1.2431,                 1.7907,               0.006436,               0.006436,               0.006436
                     38,                 1.0145,                 1.3189,                 1.6039,                0.77045,                0.67221,                0.73678,                 0.4941,                 1.0664,                 1.1811,                 1.7083,               0.006337,               0.006337,               0.006337
                     39,                0.99029,                 1.2771,                 1.5776,                 0.8287,                0.67071,                0.71642,                0.49407,                 1.0932,                 1.1654,                 1.6989,               0.006238,               0.006238,               0.006238
                     40,                0.98798,                   1.29,                 1.5716,                0.88758,                0.63037,                0.74181,                0.50034,                 1.1502,                 1.1402,                 1.7629,               0.006139,               0.006139,               0.006139
                     41,                0.99711,                   1.27,                 1.5947,                0.67669,                 0.6195,                0.68173,                0.45393,                 1.1208,                 1.2144,                 1.7188,                0.00604,                0.00604,                0.00604
                     42,                0.97315,                 1.2187,                 1.5635,                 0.7257,                0.71512,                0.73138,                0.47403,                 1.1406,                 1.1691,                 1.7769,               0.005941,               0.005941,               0.005941
                     43,                0.97321,                  1.241,                 1.5852,                0.71455,                0.70301,                0.74243,                0.50511,                 1.1442,                 1.0912,                 1.7291,               0.005842,               0.005842,               0.005842
                     44,                0.97397,                 1.2266,                 1.5634,                0.79081,                 0.7438,                0.77938,                 0.5569,                0.99976,                 1.0309,                  1.619,               0.005743,               0.005743,               0.005743
                     45,                0.94518,                 1.1971,                 1.5556,                 0.8112,                0.70322,                 0.7421,                 0.5331,                 0.9932,                 1.0665,                  1.603,               0.005644,               0.005644,               0.005644
                     46,                0.92945,                 1.1864,                   1.53,                0.72253,                0.72046,                 0.7566,                0.49731,                 1.2115,                 1.1046,                 1.8225,               0.005545,               0.005545,               0.005545
                     47,                0.93173,                 1.1883,                 1.5236,                0.80216,                0.70617,                0.75741,                0.54147,                0.93129,                 1.0143,                 1.5536,               0.005446,               0.005446,               0.005446
